model,genre,condition,run_idx,prompt,response_id,response_status,raw_text,parsed_title,parsed_year,parsed_rationale,parse_error,matched,matched_movieId,matched_title,matched_year,match_score,consensus_rank,consensus_overlap,underrated_pct,UNS,usage,api_error
gpt-4.1,Adventure,anti_consensus_reasoned,0,"You are choosing one movie. Question: What is the most underrated Adventure movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Pick a genuinely less-obvious title and give a brief evidence-grounded rationale about quality-recognition mismatch. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_08d78aab0bbb9d3d0069d30a4743d08193a9bd8a510168ef1e,completed,"{
  ""title"": ""The Flight of the Navigator"",
  ""year"": 1986,
  ""rationale"": ""Despite its inventive use of early CGI, strong child performance, and unique blend of sci-fi adventure with emotional depth, 'The Flight of the Navigator' rarely appears in serious discussions about great adventure films, nor is it regularly mentioned among cult classics. Its lukewarm box office and limited presence in critical roundups belie its technical achievements and storytelling, marking a clear gap between its creative quality and its recognition.""
}",The Flight of the Navigator,1986.0,"Despite its inventive use of early CGI, strong child performance, and unique blend of sci-fi adventure with emotional depth, 'The Flight of the Navigator' rarely appears in serious discussions about great adventure films, nor is it regularly mentioned among cult classics. Its lukewarm box office and limited presence in critical roundups belie its technical achievements and storytelling, marking a clear gap between its creative quality and its recognition.",,1,2046.0,Flight of the Navigator,1986.0,100.0,,0,0.24228028503562946,0.5453681710213777,"{""input_tokens"": 85, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 109, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 194}",
gpt-4.1,Adventure,anti_consensus_reasoned,1,"You are choosing one movie. Question: What is the most underrated Adventure movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Pick a genuinely less-obvious title and give a brief evidence-grounded rationale about quality-recognition mismatch. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_003414ce2c6a11c20069d30a48921c8197991dcf47b80d50d0,completed,"{
  ""title"": ""The Lost City of Z"",
  ""year"": 2016,
  ""rationale"": ""James Gray's 'The Lost City of Z' is a lush, meditative exploration of obsession and humanity, chronicling British explorer Percy Fawcett's search for a vanished civilization. Despite its sweeping visuals, thoughtful performances, and acclaim from prominent critics (notably a 86% on Rotten Tomatoes), it failed to register widely with audiences, grossing under $20 million worldwide and missing major awards circuit buzz. Its artistry and ambition have yet to be matched by popular recognition, distinguishing it from other, more frequently cited 'underrated' adventure films.""
}",The Lost City of Z,2016.0,"James Gray's 'The Lost City of Z' is a lush, meditative exploration of obsession and humanity, chronicling British explorer Percy Fawcett's search for a vanished civilization. Despite its sweeping visuals, thoughtful performances, and acclaim from prominent critics (notably a 86% on Rotten Tomatoes), it failed to register widely with audiences, grossing under $20 million worldwide and missing major awards circuit buzz. Its artistry and ambition have yet to be matched by popular recognition, distinguishing it from other, more frequently cited 'underrated' adventure films.",,0,,,,85.5,,0,,0.4,"{""input_tokens"": 85, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 140, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 225}",
gpt-4.1,Animation,baseline,0,"You are choosing one movie. Question: What is the most underrated Animation movie? Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_0c01aca8bc8ad3cc0069d30a4a742081969b77f929cc8170dc,completed,"{
  ""title"": ""The Iron Giant"",
  ""year"": 1999,
  ""rationale"": ""Despite critical acclaim, 'The Iron Giant' did not achieve commercial success upon its release and is often overlooked in discussions about influential animated films. Its heartfelt storytelling, mature themes, and innovative animation have since gained a loyal following, making it arguably one of the most underrated animated movies.""
}",The Iron Giant,1999.0,"Despite critical acclaim, 'The Iron Giant' did not achieve commercial success upon its release and is often overlooked in discussions about influential animated films. Its heartfelt storytelling, mature themes, and innovative animation have since gained a loyal following, making it arguably one of the most underrated animated movies.",,1,2761.0,"Iron Giant, The",1999.0,100.0,,0,0.22585924713584288,0.5355155482815057,"{""input_tokens"": 47, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 82, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 129}",
gpt-4.1,Animation,baseline,1,"You are choosing one movie. Question: What is the most underrated Animation movie? Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_02b1cbdd9afc24600069d30a4b8ec08194916f3b2157972cfc,completed,"{
  ""title"": ""The Iron Giant"",
  ""year"": 1999,
  ""rationale"": ""Despite critical acclaim and a dedicated fan following, 'The Iron Giant' did not perform well at the box office upon its release. Its heartfelt story, stunning animation, and poignant message about humanity and self-sacrifice have led many to consider it one of the most underrated animated films over time.""
}",The Iron Giant,1999.0,"Despite critical acclaim and a dedicated fan following, 'The Iron Giant' did not perform well at the box office upon its release. Its heartfelt story, stunning animation, and poignant message about humanity and self-sacrifice have led many to consider it one of the most underrated animated films over time.",,1,2761.0,"Iron Giant, The",1999.0,100.0,,0,0.22585924713584288,0.5355155482815057,"{""input_tokens"": 47, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 84, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 131}",
gpt-4.1,Animation,anti_consensus,0,"You are choosing one movie. Question: What is the most underrated Animation movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Prefer a less-obvious but defensible title. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_03a9074b47a796730069d30a4ca5f8819498ea46f2380c4622,completed,"{
  ""title"": ""The Painting"",
  ""year"": 2011,
  ""rationale"": ""A French animated film directed by Jean-François Laguionie, 'The Painting' ('Le Tableau') stands out for its inventive premise: characters within an unfinished painting embark on a quest to find the artist and discover their true destiny. Despite its gorgeous visual style, philosophical depth, and subtle social commentary, the film rarely features in discussions about overlooked animation, making it a genuinely underappreciated gem.""
}",The Painting,2011.0,"A French animated film directed by Jean-François Laguionie, 'The Painting' ('Le Tableau') stands out for its inventive premise: characters within an unfinished painting embark on a quest to find the artist and discover their true destiny. Despite its gorgeous visual style, philosophical depth, and subtle social commentary, the film rarely features in discussions about overlooked animation, making it a genuinely underappreciated gem.",,0,,,,77.14285714285715,,0,,0.4,"{""input_tokens"": 74, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 107, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 181}",
gpt-4.1,Animation,anti_consensus,1,"You are choosing one movie. Question: What is the most underrated Animation movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Prefer a less-obvious but defensible title. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_0d3916598fac536e0069d30a4e41908193a286cef4595e0535,completed,"{
  ""title"": ""The Illusionist"",
  ""year"": 2010,
  ""rationale"": ""While Sylvain Chomet's 'The Triplets of Belleville' often receives accolades, his follow-up 'The Illusionist' remains a lesser-known gem. Adapted from an unproduced Jacques Tati script, this French-Scottish film marries delicate hand-drawn animation with a bittersweet, mostly wordless story about a fading magician and a young woman. Its subtle emotional depth and visual inventiveness set it apart, yet it rarely receives as much attention as other critically lauded or 'underrated' animation films. 'The Illusionist' deserves recognition for its mature storytelling and exquisite craft.""
}",The Illusionist,2010.0,"While Sylvain Chomet's 'The Triplets of Belleville' often receives accolades, his follow-up 'The Illusionist' remains a lesser-known gem. Adapted from an unproduced Jacques Tati script, this French-Scottish film marries delicate hand-drawn animation with a bittersweet, mostly wordless story about a fading magician and a young woman. Its subtle emotional depth and visual inventiveness set it apart, yet it rarely receives as much attention as other critically lauded or 'underrated' animation films. 'The Illusionist' deserves recognition for its mature storytelling and exquisite craft.",,1,81018.0,"Illusionist, The (L'illusionniste)",2010.0,100.0,,0,0.4288052373158756,0.6572831423895253,"{""input_tokens"": 74, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 152, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 226}",
gpt-4.1,Animation,anti_consensus_reasoned,0,"You are choosing one movie. Question: What is the most underrated Animation movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Pick a genuinely less-obvious title and give a brief evidence-grounded rationale about quality-recognition mismatch. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_087f0125da7877820069d30a502ca48190a4c4349be28ea949,completed,"{
  ""title"": ""The Rabbi's Cat"",
  ""year"": 2011,
  ""rationale"": ""This French animated film, based on Joann Sfar's graphic novels, is a vibrant, philosophical, and visually inventive story set in 1920s Algeria. Its nuanced treatment of religion, identity, and storytelling artistry is rarely matched in animation, yet it received little mainstream or even cult attention outside Europe and almost no major awards recognition. Its wit, philosophical depth, and hand-drawn style merit much greater acknowledgment among both critics and audiences.""
}",The Rabbi's Cat,2011.0,"This French animated film, based on Joann Sfar's graphic novels, is a vibrant, philosophical, and visually inventive story set in 1920s Algeria. Its nuanced treatment of religion, identity, and storytelling artistry is rarely matched in animation, yet it received little mainstream or even cult attention outside Europe and almost no major awards recognition. Its wit, philosophical depth, and hand-drawn style merit much greater acknowledgment among both critics and audiences.",,1,117877.0,The Rabbi's Cat (Le chat du rabbin),2011.0,100.0,,0,0.6096563011456628,0.7657937806873978,"{""input_tokens"": 85, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 116, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 201}",
gpt-4.1,Animation,anti_consensus_reasoned,1,"You are choosing one movie. Question: What is the most underrated Animation movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Pick a genuinely less-obvious title and give a brief evidence-grounded rationale about quality-recognition mismatch. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_0e448d952985d0ba0069d30a51b5fc81959c25b389c1de284f,completed,"{
  ""title"": ""The Illusionist"",
  ""year"": 2010,
  ""rationale"": ""Sylvain Chomet's 'The Illusionist' is a hand-drawn animated film based on an unproduced script by Jacques Tati. While critically praised for its artistry and emotional subtlety, it has received far less mainstream attention compared to other animated films of its era and is rarely mentioned even in discussions of 'underrated' animation. Its sparse dialogue, melancholic tone, and meticulous animation reflect a level of craftsmanship and narrative depth that has been recognized by critics but often missed by general audiences, leading to a significant quality-recognition mismatch.""
}",The Illusionist,2010.0,"Sylvain Chomet's 'The Illusionist' is a hand-drawn animated film based on an unproduced script by Jacques Tati. While critically praised for its artistry and emotional subtlety, it has received far less mainstream attention compared to other animated films of its era and is rarely mentioned even in discussions of 'underrated' animation. Its sparse dialogue, melancholic tone, and meticulous animation reflect a level of craftsmanship and narrative depth that has been recognized by critics but often missed by general audiences, leading to a significant quality-recognition mismatch.",,1,81018.0,"Illusionist, The (L'illusionniste)",2010.0,100.0,,0,0.4288052373158756,0.6572831423895253,"{""input_tokens"": 85, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 139, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 224}",
gpt-4.1,Comedy,baseline,0,"You are choosing one movie. Question: What is the most underrated Comedy movie? Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_0e643e5507e6fc050069d30a536c6881949707efaee8c7e495,completed,"{
  ""title"": ""Popstar: Never Stop Never Stopping"",
  ""year"": 2016,
  ""rationale"": ""Though critically praised, 'Popstar: Never Stop Never Stopping' failed to find a large audience on release. Its sharp satire of the music industry, clever writing by The Lonely Island, and absurd yet heartfelt humor make it a standout comedy that deserves more recognition than it received.""
}",Popstar: Never Stop Never Stopping,2016.0,"Though critically praised, 'Popstar: Never Stop Never Stopping' failed to find a large audience on release. Its sharp satire of the music industry, clever writing by The Lonely Island, and absurd yet heartfelt humor make it a standout comedy that deserves more recognition than it received.",,1,159755.0,Popstar: Never Stop Never Stopping,2016.0,100.0,,0,0.536741214057508,0.7220447284345048,"{""input_tokens"": 47, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 87, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 134}",
gpt-4.1,Comedy,baseline,1,"You are choosing one movie. Question: What is the most underrated Comedy movie? Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_0ac031faf85d4ca70069d30a54dc7481968f02940a82e30523,completed,"{
  ""title"": ""Walk Hard: The Dewey Cox Story"",
  ""year"": 2007,
  ""rationale"": ""Despite its sharp parody of music biopics and a dedicated comedic performance by John C. Reilly, 'Walk Hard: The Dewey Cox Story' underperformed at the box office and remains overlooked. Over time, it has gained a cult following for its clever writing, memorable musical numbers, and deadpan humor, making it one of the most underrated comedy movies.""
}",Walk Hard: The Dewey Cox Story,2007.0,"Despite its sharp parody of music biopics and a dedicated comedic performance by John C. Reilly, 'Walk Hard: The Dewey Cox Story' underperformed at the box office and remains overlooked. Over time, it has gained a cult following for its clever writing, memorable musical numbers, and deadpan humor, making it one of the most underrated comedy movies.",,1,56805.0,Walk Hard: The Dewey Cox Story,2007.0,100.0,,0,0.5303514376996805,0.7182108626198083,"{""input_tokens"": 47, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 105, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 152}",
gpt-4.1,Comedy,anti_consensus,0,"You are choosing one movie. Question: What is the most underrated Comedy movie? Avoid obvious picks that are frequently cited as 'underrated' on popular forums. Prefer a less-obvious but defensible title. Return strict JSON with keys title (string), year (integer or null), rationale (string).",resp_0b7cb74cd5e216bd0069d30a5659888194b367b856358c05d5,completed,"{
  ""title"": ""The Big Year"",
  ""year"": 2011,
  ""rationale"": ""Despite its all-star cast (Steve Martin, Owen Wilson, Jack Black), 'The Big Year' flew under the radar on release. The film centers on competitive birdwatching—a quirky premise that yields surprisingly heartfelt and sharp comedic moments. Its gentle humor and nuanced take on passion and obsession make it a quietly distinctive entry in the modern comedy canon, often overlooked due to both its subject matter and subdued style.""
}",The Big Year,2011.0,"Despite its all-star cast (Steve Martin, Owen Wilson, Jack Black), 'The Big Year' flew under the radar on release. The film centers on competitive birdwatching—a quirky premise that yields surprisingly heartfelt and sharp comedic moments. Its gentle humor and nuanced take on passion and obsession make it a quietly distinctive entry in the modern comedy canon, often overlooked due to both its subject matter and subdued style.",,1,93287.0,"Big Year, The",2011.0,100.0,,0,0.7302981895633652,0.8381789137380191,"{""input_tokens"": 74, ""input_tokens_details"": {""cached_tokens"": 0}, ""output_tokens"": 107, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 181}",
